kind	body	path	url	status	bytes
license	Enceladus	images/Enceladus/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Enceladus/LICENSE-normal	206	278
diffuse-map	Enceladus	images/Enceladus/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Enceladus/diffuse.jpg	206	4069459
normal-map	Enceladus	images/Enceladus/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Enceladus/normal.jpg	206	3485696
license	Eris	images/Eris/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/LICENSE-diffuse	206	157
license	Eris	images/Eris/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/LICENSE-normal	206	157
diffuse-map	Eris	images/Eris/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/diffuse.jpg	206	758158
normal-map	Eris	images/Eris/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Eris/normal.jpg	206	1544192
license	Europa	images/Europa/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/LICENSE-diffuse	206	238
license	Europa	images/Europa/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/LICENSE-normal	206	167
diffuse-map	Europa	images/Europa/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/diffuse.jpg	206	63798658
normal-map	Europa	images/Europa/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Europa/normal.jpg	206	21094418
license	Ganymede	images/Ganymede/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/LICENSE-diffuse	206	139
license	Ganymede	images/Ganymede/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/LICENSE-normal	206	167
diffuse-map	Ganymede	images/Ganymede/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/diffuse.png	206	27241266
normal-map	Ganymede	images/Ganymede/normal.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Ganymede/normal.jpg	206	30504797
license	Haumea	images/Haumea/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/LICENSE-diffuse	206	168
license	Haumea	images/Haumea/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/LICENSE-normal	206	250
diffuse-map	Haumea	images/Haumea/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/diffuse.png	206	2720453
normal-map	Haumea	images/Haumea/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Haumea/normal.png	206	5080335
license	Hyperion	images/Hyperion/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Hyperion/LICENSE-diffuse	206	120
diffuse-map	Hyperion	images/Hyperion/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Hyperion/diffuse.png	206	4019359
license	Iapetus	images/Iapetus/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/LICENSE-diffuse	206	169
license	Iapetus	images/Iapetus/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/LICENSE-normal	206	203
diffuse-map	Iapetus	images/Iapetus/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/diffuse.jpg	206	119842
height-map	Iapetus	images/Iapetus/iapetus_elevation_map_by_oleg_pluton_dciddid.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/iapetus_elevation_map_by_oleg_pluton_dciddid.png	206	31352904
normal-map	Iapetus	images/Iapetus/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Iapetus/normal.png	206	24849229
license	Io	images/Io/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/LICENSE-diffuse	206	254
license	Io	images/Io/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/LICENSE-normal	206	125
diffuse-map	Io	images/Io/diffuse.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/diffuse.png	206	32301184
normal-map	Io	images/Io/normal.png	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Io/normal.png	206	15216383
license	Juno	images/Juno/LICENSE-diffuse	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/LICENSE-diffuse	206	157
license	Juno	images/Juno/LICENSE-normal	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/LICENSE-normal	206	157
diffuse-map	Juno	images/Juno/diffuse.jpg	https://gitlab.com/Dexter9313/prograde-data/-/raw/master/solarsystem/systems/Solar%20System/images/Juno/diffuse.jpg	206	300210
