# Yale Bright Star Catalog v5 / BSC5, J2000.0 equatorial coordinates.
# Runtime subset keeps stars with visual magnitude V <= 6.70.
# Source conversion: https://github.com/brettonw/YaleBrightStarCatalog
# Original catalog: http://tdc-www.harvard.edu/catalogs/bsc5.html
# Columns: ra_deg,dec_deg,visual_magnitude,color_temperature_k
ra_deg,dec_deg,visual_magnitude,color_temperature_k
258.615417,-39.766944,6.60,5500
283.634583,-49.878611,6.60,9500
289.765833,33.388889,6.60,26000
292.561250,-32.092222,6.60,7050
291.444583,58.027222,6.60,14000
308.217917,43.191667,6.60,22000
338.262083,69.913611,6.60,7750
345.177083,31.083056,6.60,12000
348.991250,24.771111,6.60,6750
355.279167,-24.160278,6.60,3350
23.264583,-9.014722,6.59,10000
55.343333,-19.584722,6.59,9250
61.854583,-42.916944,6.59,5000
62.141250,-45.864722,6.59,7200
82.322500,-62.314444,6.59,4400
83.490000,1.407778,6.59,26000
85.477500,23.326389,6.59,14000
88.634167,11.762500,6.59,9500
90.571250,1.694444,6.59,14000
94.388750,14.058333,6.59,10000
97.250000,11.019444,6.59,7750
105.321667,32.414444,6.59,7750
105.479167,5.557500,6.59,26000
108.100417,-27.474167,6.59,8750
114.600833,-39.991389,6.59,10000
126.821667,-6.409722,6.59,6900
134.534167,1.541667,6.59,9500
166.785000,-32.587222,6.59,7350
175.521667,22.210833,6.59,7200
195.976667,-3.663333,6.59,7500
198.383333,72.798889,6.59,9500
205.002500,-70.788333,6.59,5000
205.378750,-23.449722,6.59,10000
225.902083,34.566111,6.59,5200
253.581667,-41.820000,6.59,8086
254.673333,-14.869722,6.59,7050
255.122500,6.583611,6.59,8250
265.156667,43.470833,6.59,4700
273.291667,-4.011667,6.59,9500
277.341667,-25.256389,6.59,26000
278.346250,30.892500,6.59,22000
277.811667,65.436111,6.59,8000
282.310000,25.046389,6.59,9750
312.911667,-62.429167,6.59,9500
328.400000,-10.311667,6.59,12000
329.845833,57.658333,6.59,10000
357.436250,-62.839444,6.59,4250
359.115417,83.191111,6.59,9250
21.722917,3.535278,6.58,12000
22.180417,-33.763611,6.58,7500
24.343750,74.300833,6.58,12000
75.096667,39.655000,6.58,4400
86.456250,40.507222,6.58,9250
91.195417,-48.458611,6.58,5400
93.389167,18.680278,6.58,14000
99.987083,-38.158889,6.58,4850
112.095000,-37.810278,6.58,9750
122.840000,38.731389,6.58,6000
128.830833,19.590000,6.58,6000
149.313333,-64.489444,6.58,5000
193.591667,-58.430556,6.58,6450
213.820417,52.535833,6.58,9000
232.295833,80.448611,6.58,6000
251.072083,-27.456111,6.58,9500
272.343333,-36.672500,6.58,28000
290.109167,-31.817778,6.58,3500
289.702083,19.610556,6.58,14000
309.846250,45.666944,6.58,20000
317.199583,-76.212500,6.58,4850
320.845833,37.406667,6.58,6600
321.231250,49.323333,6.58,12000
354.494167,46.199722,6.58,5500
359.871667,33.724444,6.58,6000
359.871667,33.724444,6.58,6000
7.453750,-32.116667,6.57,4400
51.763333,18.756389,6.57,9250
53.801667,73.346944,6.57,10000
56.969167,33.600000,6.57,26000
77.899583,-37.395278,6.57,4250
80.330417,4.011944,6.57,20000
81.380000,-0.544167,6.57,12000
88.644583,-4.063889,6.57,28000
94.243333,7.053056,6.57,16000
97.522917,9.029167,6.57,10000
99.706250,4.700556,6.57,14000
101.358750,-52.201111,6.57,5400
103.195417,-54.090000,6.57,5500
106.084167,1.488333,6.57,10000
115.778750,-49.992778,6.57,9500
116.639167,-40.059722,6.57,26000
131.666667,28.765278,6.57,9250
154.190000,-20.670556,6.57,7050
159.072500,-10.583333,6.57,7500
203.678333,76.546667,6.57,4250
232.730833,8.579167,6.57,6900
234.636250,-39.160833,6.57,12000
258.997083,-87.566389,6.57,5500
251.473333,-83.238889,6.57,4400
253.667917,-11.792500,6.57,9500
257.690833,12.467222,6.57,9750
263.827083,-22.043889,6.57,14000
278.581667,20.466389,6.57,9250
288.040833,-37.582778,6.57,5800
288.020833,49.856111,6.57,5600
296.159167,34.413889,6.57,3350
298.777083,30.195278,6.57,18000
300.584583,64.634444,6.57,5300
304.951250,37.132500,6.57,10000
314.076250,-3.561389,6.57,14000
322.498333,-19.147778,6.57,7500
341.369167,-88.818333,6.57,7500
336.642500,-16.741389,6.57,5800
336.746667,56.433333,6.57,20000
345.637917,31.780556,6.57,7200
355.561667,44.991944,6.57,4250
