path	bytes	sha256	url
models/shapes/67P/cg_mspcd_shap2_001m_cart.obj	49412414	0ab476af0552bf9a58429c209094e01934edd39f33e48f2cf0c6922a5bb5e0c8	https://sbn.psi.edu/pds/shape-models/files/67P/cg_mspcd_shap2_001m_cart.obj
models/shapes/RADAR/1620geographos.tab.obj	1179456	ba795310674ad3e35059a09d68b1d02bdbb97293533b16f5b08ca30376519b73	https://sbn.psi.edu/pds/shape-models/files/RADAR/1620geographos.tab.obj
models/shapes/RADAR/1998ky26.tab.obj	294720	b6a0148731a4ab1b00cc763ca8dedd9e8115e3e6e5bb01aa67098ee35f5efe29	https://sbn.psi.edu/pds/shape-models/files/RADAR/1998ky26.tab.obj
models/shapes/RADAR/2063bacchus.tab.obj	294720	fe81da8da890cb8abac3fc4bcf58b51443d6315a7ce60e5634ab77f4a33c07f6	https://sbn.psi.edu/pds/shape-models/files/RADAR/2063bacchus.tab.obj
models/shapes/RADAR/4179toutatis.tab.obj	921408	5bb9401c5bf587910cf598d49eb1d09b7bb5f0540f7cc7b7ec48f331a2b4c584	https://sbn.psi.edu/pds/shape-models/files/RADAR/4179toutatis.tab.obj
models/shapes/RADAR/4769castalia.tab.obj	294720	92c9b9a2649a78c953db23762bce36c5f21f7b439606351c6e3e6d99340ba960	https://sbn.psi.edu/pds/shape-models/files/RADAR/4769castalia.tab.obj
models/shapes/RADAR/52760.tab.obj	1175136	480bb22ad8711217d34333d8bb06aa17ac6f1a6b6054d0ddec1aab65b1ebacc7	https://sbn.psi.edu/pds/shape-models/files/RADAR/52760.tab.obj
models/shapes/RADAR/6489golevka.tab.obj	294720	4f1f212c903c9572b3b150ad1a6e9c6705596f58dc0e610910e5534a539a3ef9	https://sbn.psi.edu/pds/shape-models/files/RADAR/6489golevka.tab.obj
models/shapes/SATURN_SMALL_MOONS/atlas_30k_plt.tab.obj	1127404	36b539137cf4a2ef6cb22f5e6f7c4f96df948a59cdb25ef12a99b3e94cd343b0	https://sbn.psi.edu/pds/shape-models/files/SATURN_SMALL_MOONS/atlas_30k_plt.tab.obj
models/shapes/SATURN_SMALL_MOONS/calypso_30k_plt.tab.obj	1184427	5d5b324ebb90e1bdec7bf4cd823bffe97b8ee12d100e77d1cd4573b493e57d02	https://sbn.psi.edu/pds/shape-models/files/SATURN_SMALL_MOONS/calypso_30k_plt.tab.obj
models/shapes/SATURN_SMALL_MOONS/daphnis_30k_plt.tab.obj	1124670	fbfa44337a1da94b6f8ad9ee3ac55e4e3bd7b1a4c478403e65b01b140be93e92	https://sbn.psi.edu/pds/shape-models/files/SATURN_SMALL_MOONS/daphnis_30k_plt.tab.obj
models/shapes/SATURN_SMALL_MOONS/epimetheus_30k_plt.tab.obj	1164353	85885fa2e250ebfb7b88874f37682607e74203306e80ef8b43432c00649b1fe8	https://sbn.psi.edu/pds/shape-models/files/SATURN_SMALL_MOONS/epimetheus_30k_plt.tab.obj
models/shapes/SATURN_SMALL_MOONS/helene_30k_plt.tab.obj	1127434	f78148b16bbce4bc454849d4bfee813a7224eae4158d8c59f87783c61f0966bd	https://sbn.psi.edu/pds/shape-models/files/SATURN_SMALL_MOONS/helene_30k_plt.tab.obj
models/shapes/SATURN_SMALL_MOONS/hyperion_30k_plt.tab.obj	1228388	7b1bb010f9f7952e2647923a30bfed813850bf8e72e235a80ac4008a23e0c8fc	https://sbn.psi.edu/pds/shape-models/files/SATURN_SMALL_MOONS/hyperion_30k_plt.tab.obj
models/shapes/SATURN_SMALL_MOONS/janus_30k_plt.tab.obj	1117064	a177317f060e4fee64497e0a876423e0acce3a2d9ad75b7df49419669a341eaf	https://sbn.psi.edu/pds/shape-models/files/SATURN_SMALL_MOONS/janus_30k_plt.tab.obj
