hostname,pl_name,sy_dist,ra,dec,st_mass,st_rad,st_teff,pl_orbsmax,pl_orbper,pl_orbeccen,pl_orbincl,pl_orblper,pl_bmasse,pl_rade
"Kepler-1042","Kepler-1042 b",659.00000000,288.6689428,39.8239935,0.750000,0.720000,4815.00,0.0756000000,10.13202575000,0.000000,89.93000,,5.43000000,2.19000000
"Kepler-334","Kepler-334 c",426.59000000,287.1406177,47.1151153,1.022000,1.068000,5828.00,0.1070000000,12.75800500000,0.000000,89.97000,,2.63000000,1.43000000
"Kepler-937","Kepler-937 b",1571.46000000,294.1688142,46.7146161,1.150000,1.220000,6095.00,0.3214000000,67.66882700000,0.000000,89.61000,,13.40000000,3.72000000
"Kepler-1117","Kepler-1117 b",568.48700000,292.0847866,49.2374206,0.950000,0.930000,5612.00,0.0548500000,4.79028459000,0.000000,87.83000,,1.41000000,1.11000000
"Kepler-1789","Kepler-1789 b",611.46100000,282.8631419,41.7966332,0.920000,0.888000,5436.00,0.3543000000,80.23190308000,0.000000,89.19000,,8.40000000,2.83137505
"Kepler-1831","Kepler-1831 b",1053.49000000,295.3024604,49.5890456,1.117000,1.012000,6063.00,0.0655000000,5.78387022000,0.000000,89.59000,,4.54000000,1.97019818
"Kepler-1245","Kepler-1245 b",805.93600000,290.7443078,43.2607530,0.860000,0.830000,5306.00,0.0484000000,4.35409304000,0.000000,85.65000,,2.67000000,1.44000000
"Kepler-114","Kepler-114 b",259.53300000,294.1214820,48.3497977,0.770000,0.667000,4605.00,0.0530000000,5.18854900000,0.000000,89.39000,,1.09000000,1.26000000
"Kepler-1105","Kepler-1105 b",318.00400000,281.1117588,42.4549698,0.710000,0.680000,4299.00,0.0471000000,4.42157218200,0.000000,84.34000,,4.70000000,2.01000000
"Kepler-187","Kepler-187 b",1143.00000000,299.7964955,44.0892448,1.081000,1.287000,6105.00,0.0590000000,4.93886400000,0.000000,84.67000,,2.57000000,1.41000000
"Kepler-1379","Kepler-1379 b",971.32500000,293.6704404,41.4102105,0.830000,0.790000,5188.00,0.0171000000,0.88184114600,0.000000,84.47000,,2.24000000,1.30000000
"Kepler-304","Kepler-304 c",434.68400000,294.4418031,40.5575408,0.737000,0.687000,4731.00,0.0540000000,5.31594600000,0.000000,88.47000,,5.35000000,2.17000000
"Kepler-1291","Kepler-1291 b",897.35200000,289.3770051,40.0010791,0.840000,0.800000,5216.00,0.0779000000,8.63043276000,0.000000,88.03000,,3.39000000,1.66000000
"Kepler-304","Kepler-304 e",434.68400000,294.4418031,40.5575408,0.800000,0.730000,4817.00,0.0231700000,1.49914695300,0.000000,87.54000,,1.87000000,1.20000000
"Kepler-461","Kepler-461 b",692.15800000,292.2490563,46.1647909,0.980000,0.910000,5634.00,0.0789500000,8.31378305900,0.000000,89.99000,,7.18000000,2.58000000
"Kepler-1894","Kepler-1894 b",935.19100000,295.5864604,49.6668523,0.999000,0.901000,5772.00,0.0385000000,2.76266002700,0.000000,87.48000,,1.87000000,1.20117759
